Shift_ID, GPS_ID, Date, Time, Location
1,1,'2021-01-20','08:00:00','Huntingdon'
2,1,'2021-01-20','08:00:00','Ramsey'
3,1,'2021-01-20','08:00:00','Stives'
4,1,'2021-01-20','08:00:00','Swavesy'
5,1,'2021-01-20','08:00:00','Longstanton'
6,1,'2021-01-20','12:00:00','Somersham'
7,1,'2021-01-20','12:00:00','Brampton'
8,1,'2021-01-20','12:00:00','Huntingdon'
9,1,'2021-01-20','12:00:00','Ramsey'
10,1,'2021-01-20','12:00:00','Stives'
11,1,'2021-01-21','08:00:00','Swavesy'
12,1,'2021-01-21','08:00:00','Longstanton'
13,1,'2021-01-21','08:00:00','Somersham'
14,1,'2021-01-21','08:00:00','Brampton'
15,1,'2021-01-21','08:00:00','Huntingdon'
16,1,'2021-01-21','12:00:00','Swavesy'
17,1,'2021-01-21','12:00:00','Longstanton'
18,1,'2021-01-21','12:00:00','Somersham'
19,1,'2021-01-21','12:00:00','Brampton'
20,1,'2021-01-21','12:00:00','Ramsey'
21,1,'2021-01-22','08:00:00','Stives'
22,1,'2021-01-22','08:00:00','Cherry Hinton'
23,1,'2021-01-22','08:00:00','Cambridge'
24,1,'2021-01-22','08:00:00','Haverhill'
25,1,'2021-01-22','08:00:00','Huntingdon'
26,1,'2021-01-22','12:00:00','Swavesy'
27,1,'2021-01-22','12:00:00','Longstanton'
28,1,'2021-01-22','12:00:00','Somersham'
29,1,'2021-01-22','12:00:00','Brampton'
30,1,'2021-01-22','12:00:00','Ramsey'
31,1,'2021-01-23','08:00:00','Stives'
32,1,'2021-01-23','08:00:00','Cherry Hinton'
33,1,'2021-01-23','08:00:00','Cambridge'
34,1,'2021-01-23','08:00:00','Haverhill'
35,1,'2021-01-23','08:00:00','Huntingdon'
36,1,'2021-01-23','12:00:00','Swavesy'
37,1,'2021-01-23','12:00:00','Longstanton'
38,1,'2021-01-23','12:00:00','Somersham'
39,1,'2021-01-23','12:00:00','Brampton'
40,1,'2021-01-23','12:00:00','Ramsey'
41,1,'2021-01-24','08:00:00','Stives'
42,1,'2021-01-24','08:00:00','Haverhill'
43,1,'2021-01-24','08:00:00','Cherry Hinton'
44,1,'2021-01-24','08:00:00','Cambridge'
45,1,'2021-01-24','08:00:00','Haverhill'
46,1,'2021-01-24','12:00:00','Huntingdon'
47,1,'2021-01-24','12:00:00','Ramsey'
48,1,'2021-01-24','12:00:00','Stives'
49,1,'2021-01-24','12:00:00','Swavesy'
50,1,'2021-01-24','12:00:00','Longstanton'
1,2,'2021-01-20','09:00:00','Somersham'
2,2,'2021-01-20','09:00:00','Brampton'
3,2,'2021-01-20','09:00:00','Cherry Hinton'
4,2,'2021-01-20','09:00:00','Cambridge'
5,2,'2021-01-20','09:00:00','Haverhill'
6,2,'2021-01-20','13:00:00','Cherry Hinton'
7,2,'2021-01-20','13:00:00','Cambridge'
8,2,'2021-01-20','13:00:00','Haverhill'
9,2,'2021-01-20','13:00:00','Huntingdon'
10,2,'2021-01-20','13:00:00','Swavesy'
11,2,'2021-01-21','09:00:00','Longstanton'
12,2,'2021-01-21','09:00:00','Somersham'
13,2,'2021-01-21','09:00:00','Brampton'
14,2,'2021-01-21','09:00:00','Ramsey'
15,2,'2021-01-21','09:00:00','Stives'
16,2,'2021-01-21','13:00:00','Swavesy'
17,2,'2021-01-21','13:00:00','Longstanton'
18,2,'2021-01-21','13:00:00','Somersham'
19,2,'2021-01-21','13:00:00','Brampton'
20,2,'2021-01-21','13:00:00','Huntingdon'
21,2,'2021-01-22','09:00:00','Ramsey'
22,2,'2021-01-22','09:00:00','Stives'
23,2,'2021-01-22','09:00:00','Swavesy'
24,2,'2021-01-22','09:00:00','Longstanton'
25,2,'2021-01-22','09:00:00','Somersham'
26,2,'2021-01-22','13:00:00','Cherry Hinton'
27,2,'2021-01-22','13:00:00','Cambridge'
28,2,'2021-01-22','13:00:00','Haverhill'
29,2,'2021-01-22','13:00:00','Huntingdon'
30,2,'2021-01-22','13:00:00','Swavesy'
31,2,'2021-01-23','09:00:00','Longstanton'
32,2,'2021-01-23','09:00:00','Somersham'
33,2,'2021-01-23','09:00:00','Huntingdon'
34,2,'2021-01-23','09:00:00','Swavesy'
35,2,'2021-01-23','09:00:00','Longstanton'
36,2,'2021-01-23','13:00:00','Somersham'
37,2,'2021-01-23','13:00:00','Brampton'
38,2,'2021-01-23','13:00:00','Ramsey'
39,2,'2021-01-23','13:00:00','Stives'
40,2,'2021-01-23','13:00:00','Cambridge'
41,2,'2021-01-24','09:00:00','Haverhill'
42,2,'2021-01-24','09:00:00','Huntingdon'
43,2,'2021-01-24','09:00:00','Swavesy'
44,2,'2021-01-24','09:00:00','Longstanton'
45,2,'2021-01-24','09:00:00','Somersham'
46,2,'2021-01-24','13:00:00','Brampton'
47,2,'2021-01-24','13:00:00','Ramsey'
48,2,'2021-01-24','13:00:00','Stives'
49,2,'2021-01-24','13:00:00','Brampton'
50,2,'2021-01-24','13:00:00','Ramsey'
1,3,'2021-01-20','10:00:00','Stives'
2,3,'2021-01-20','10:00:00','Huntingdon'
3,3,'2021-01-20','10:00:00','Swavesy'
4,3,'2021-01-20','10:00:00','Longstanton'
5,3,'2021-01-20','10:00:00','Somersham'
6,3,'2021-01-20','14:00:00','Brampton'
